Department,ADM1_PCODE,Commune,ADM2_PCODE,Population,JIAF_Sector_Coverage_Pct,Deprivation_Index_Comp,Deprivation_Index_Max,Baseline_Mean,Baseline_Absent_Pct,Baseline_MinTP_Pct,Baseline_P10_Pct,Baseline_MaxSSS_Pct,Baseline_Risk_Comp,Baseline_Risk_Comp_Pct,Baseline_Risk_Comp_Cat,Baseline_Risk_Max,Baseline_Risk_Max_Pct,Baseline_Risk_Max_Cat,WL15_Mean,WL15_Absent_Pct,WL15_MinTP_Pct,WL15_P10_Pct,WL15_MaxSSS_Pct,WL15_Risk_Comp,WL15_Risk_Comp_Pct,WL15_Risk_Comp_Cat,WL15_Risk_Max,WL15_Risk_Max_Pct,WL15_Risk_Max_Cat,WL2_Mean,WL2_Absent_Pct,WL2_MinTP_Pct,WL2_P10_Pct,WL2_MaxSSS_Pct,WL2_Risk_Comp,WL2_Risk_Comp_Pct,WL2_Risk_Comp_Cat,WL2_Risk_Max,WL2_Risk_Max_Pct,WL2_Risk_Max_Cat,WL3_Mean,WL3_Absent_Pct,WL3_MinTP_Pct,WL3_P10_Pct,WL3_MaxSSS_Pct,WL3_Risk_Comp,WL3_Risk_Comp_Pct,WL3_Risk_Comp_Cat,WL3_Risk_Max,WL3_Risk_Max_Pct,WL3_Risk_Max_Cat,WL4_Mean,WL4_Absent_Pct,WL4_MinTP_Pct,WL4_P10_Pct,WL4_MaxSSS_Pct,WL4_Risk_Comp,WL4_Risk_Comp_Pct,WL4_Risk_Comp_Cat,WL4_Risk_Max,WL4_Risk_Max_Pct,WL4_Risk_Max_Cat
West,HT01,Croix-Des-Bouquets,HT0131,460489,100,0.335,0.726,0.377,62.1,37.9,33.6,29.4,0.0405,92.0863,Very High,0.0878,97.8417,Very High,0.427,53.7,46.3,38.4,34.9,0.0445,92.0863,Very High,0.0964,97.8417,Very High,0.462,48.1,51.9,43.9,36.8,0.0487,90.6475,Very High,0.1056,97.8417,Very High,0.535,36.3,63.7,54.6,45.7,0.0534,91.3669,Very High,0.1157,99.2806,Very High,0.633,26.3,73.7,66.5,63.1,0.0617,91.3669,Very High,0.1336,99.2806,Very High
West,HT01,Delmas,HT0112,527917,100,0.504,0.318,0.828,0,100,99.6,95.4,0.1865,99.2806,Very High,0.1176,99.2806,Very High,0.86,0,100,100,100,0.188,99.2806,Very High,0.1186,99.2806,Very High,0.852,0,100,100,100,0.1881,99.2806,Very High,0.1187,99.2806,Very High,0.847,0,100,100,100,0.1804,99.2806,Very High,0.1138,98.5612,Very High,0.844,0,100,100,100,0.1782,99.2806,Very High,0.1125,98.5612,Very High
West,HT01,Fonds-Verrettes,HT0135,68710,100,0.559,0.46,0.17,99.4,0.6,0,0,0.0021,28.777,Low,0.0017,40.2878,Low,0.178,97.7,2.3,0.2,0,0.0016,16.5468,Very Low,0.0014,20.8633,Very Low,0.192,94.8,5.2,0.2,0.2,0.0016,10.7914,Very Low,0.0013,13.6691,Very Low,0.244,81.2,18.8,2.4,1.6,0.0013,4.3165,Very Low,0.0011,8.6331,Very Low,0.32,71.9,28.1,12.9,8.3,0,0,Very Low,0,0,Very Low
West,HT01,Ganthier,HT0133,104409,100,0.604,0.587,0.467,45.4,54.6,45.5,39.9,0.0206,87.0504,High,0.02,91.3669,Very High,0.572,32.8,67.2,61.1,58.9,0.0252,81.295,High,0.0245,91.3669,Very High,0.593,29.1,70.9,64,60.9,0.0263,79.8561,High,0.0256,91.3669,Very High,0.633,24.4,75.6,69.9,65.9,0.0265,77.6978,High,0.0257,87.7698,High,0.675,18.8,81.2,75.6,73.2,0.0267,74.1007,Moderate,0.0259,87.0504,High
West,HT01,Grand-Goave,HT0123,238474,100,0.381,0.257,0.29,63.7,36.3,14.6,8.2,0.0159,80.5755,High,0.0107,86.3309,High,0.405,57.4,42.6,31.3,29.1,0.0238,79.8561,High,0.016,85.6115,High,0.461,49.9,50.1,38.6,36.9,0.0281,80.5755,High,0.019,85.6115,High,0.559,33.9,66.1,51.5,47,0.0331,80.5755,High,0.0223,85.6115,High,0.679,14.4,85.6,67.6,64,0.0409,82.0144,High,0.0276,87.7698,High
West,HT01,Gressier,HT0116,68503,100,0.037,0.083,0.579,19.2,80.8,47.8,39.6,0.001,19.4245,Very Low,0.0023,50.3597,Moderate,0.73,6.4,93.6,73.2,66.7,0.0013,13.6691,Very Low,0.0029,39.5683,Low,0.805,0.9,99.1,86.4,80.9,0.0015,10.0719,Very Low,0.0033,36.6906,Low,0.88,0,100,100,98.2,0.0016,7.9137,Very Low,0.0036,35.2518,Low,0.877,0,100,100,100,0.0016,4.3165,Very Low,0.0036,26.6187,Low
West,HT01,Kenscoff,HT0115,114439,100,0.242,0.144,0.145,99.3,0.7,0,0,0.001,17.9856,Very Low,6.00E-04,19.4245,Very Low,0.161,96.9,3.1,0,0,8.00E-04,8.6331,Very Low,5.00E-04,9.3525,Very Low,0.177,91.2,8.8,0.5,0,8.00E-04,5.7554,Very Low,5.00E-04,7.1942,Very Low,0.231,81.4,18.6,6.7,2.7,6.00E-04,2.8777,Very Low,4.00E-04,2.8777,Very Low,0.342,64.6,35.4,16.9,11.5,7.00E-04,2.8777,Very Low,4.00E-04,2.8777,Very Low
West,HT01,Leogane,HT0121,395080,100,0.361,0.201,0.507,30.6,69.4,38.7,34.7,0.0552,95.6835,Very High,0.0307,95.6835,Very High,0.65,15.7,84.3,62,55.1,0.0715,94.964,Very High,0.0398,95.6835,Very High,0.739,11.2,88.8,76.6,71.3,0.0842,95.6835,Very High,0.0469,95.6835,Very High,0.815,5.4,94.6,88.8,86.1,0.0914,95.6835,Very High,0.0509,94.964,Very High,0.842,2.7,97.3,94.6,93.7,0.0947,95.6835,Very High,0.0527,95.6835,Very High
West,HT01,Petion-Ville,HT0114,739148,100,0.139,0.012,0.297,63.8,36.2,14.6,11.7,0.0191,84.8921,High,0.0016,37.4101,Low,0.395,53.4,46.6,30.1,23.9,0.0266,84.1727,High,0.0023,30.9353,Low,0.457,47.5,52.5,40.3,33.1,0.0322,83.4532,High,0.0028,30.2158,Low,0.548,30.7,69.3,53,46.7,0.0373,82.7338,High,0.0032,29.4964,Low,0.663,17.1,82.9,69.4,61,0.0453,84.1727,High,0.0039,30.9353,Low
West,HT01,Petit-Goave,HT0122,483223,100,0.152,0.06,0.309,63.4,36.6,18.8,10.3,0.0144,79.1367,High,0.0057,71.9424,Moderate,0.423,53.7,46.3,35.7,31.7,0.0209,76.9784,High,0.0082,69.7842,Moderate,0.476,47.9,52.1,42.2,38.3,0.0243,78.4173,High,0.0096,69.7842,Moderate,0.575,30.4,69.6,52.8,50.2,0.0286,78.4173,High,0.0113,70.5036,Moderate,0.711,6.2,93.8,72.5,67.4,0.0367,79.1367,High,0.0145,74.8201,Moderate
West,HT01,Pointe a Raquette,HT0152,40095,100,0.485,0.312,0.51,9.2,90.8,42.9,22.1,0.0061,56.1151,Moderate,0.0039,65.4676,Moderate,0.735,5.1,94.9,89.6,77.5,0.0091,53.9568,Moderate,0.0058,58.9928,Moderate,0.782,2,98,93.4,91.2,0.0098,51.0791,Moderate,0.0063,58.2734,Moderate,0.821,0,100,98.4,95.5,0.0101,44.6043,Low,0.0065,53.2374,Moderate,0.841,0,100,100,99.9,0.0103,38.1295,Low,0.0066,49.6403,Low
West,HT01,Port-au-Prince,HT0111,1388649,100,0.452,0.196,0.649,19.3,80.7,62.8,60.1,0.3344,100,Very High,0.145,100,Very High,0.741,12.2,87.8,77.9,77.9,0.3754,100,Very High,0.1628,100,Very High,0.772,8,92,85.4,80.7,0.3976,100,Very High,0.1724,100,Very High,0.819,2.4,97.6,92,92,0.411,100,Very High,0.1782,100,Very High,0.849,0,100,97.6,97.6,0.4289,100,Very High,0.186,100,Very High
West,HT01,Tabarre,HT0118,271730,100,0.28,0.323,0.81,0,100,100,100,0.0511,93.5252,Very High,0.059,97.1223,Very High,0.836,0,100,100,100,0.0511,92.8058,Very High,0.059,96.4029,Very High,0.824,0,100,100,100,0.0508,92.0863,Very High,0.0587,96.4029,Very High,0.831,0,100,100,100,0.0495,89.9281,High,0.0571,96.4029,Very High,0.83,0,100,100,100,0.0489,86.3309,High,0.0564,96.4029,Very High
West,HT01,Thomazeau,HT0132,126062,100,0.218,0.125,0.503,40.7,59.3,57.7,50.9,0.01,71.9424,Moderate,0.0057,72.6619,Moderate,0.598,27.4,72.6,68.6,60.9,0.0118,63.3094,Moderate,0.0068,66.1871,Moderate,0.638,20.4,79.6,73.2,63.9,0.0128,62.5899,Moderate,0.0074,62.5899,Moderate,0.723,9.2,90.8,87.2,74.4,0.0142,62.5899,Moderate,0.0081,62.5899,Moderate,0.81,0,100,96.3,95.4,0.0163,61.1511,Moderate,0.0093,64.0288,Moderate
