Department,ADM1_PCODE,Commune,ADM2_PCODE,Population,JIAF_Sector_Coverage_Pct,Deprivation_Index_Comp,Deprivation_Index_Max,Baseline_Mean,Baseline_Absent_Pct,Baseline_MinTP_Pct,Baseline_P10_Pct,Baseline_MaxSSS_Pct,Baseline_Risk_Comp,Baseline_Risk_Comp_Pct,Baseline_Risk_Comp_Cat,Baseline_Risk_Max,Baseline_Risk_Max_Pct,Baseline_Risk_Max_Cat,WL15_Mean,WL15_Absent_Pct,WL15_MinTP_Pct,WL15_P10_Pct,WL15_MaxSSS_Pct,WL15_Risk_Comp,WL15_Risk_Comp_Pct,WL15_Risk_Comp_Cat,WL15_Risk_Max,WL15_Risk_Max_Pct,WL15_Risk_Max_Cat,WL2_Mean,WL2_Absent_Pct,WL2_MinTP_Pct,WL2_P10_Pct,WL2_MaxSSS_Pct,WL2_Risk_Comp,WL2_Risk_Comp_Pct,WL2_Risk_Comp_Cat,WL2_Risk_Max,WL2_Risk_Max_Pct,WL2_Risk_Max_Cat,WL3_Mean,WL3_Absent_Pct,WL3_MinTP_Pct,WL3_P10_Pct,WL3_MaxSSS_Pct,WL3_Risk_Comp,WL3_Risk_Comp_Pct,WL3_Risk_Comp_Cat,WL3_Risk_Max,WL3_Risk_Max_Pct,WL3_Risk_Max_Cat,WL4_Mean,WL4_Absent_Pct,WL4_MinTP_Pct,WL4_P10_Pct,WL4_MaxSSS_Pct,WL4_Risk_Comp,WL4_Risk_Comp_Pct,WL4_Risk_Comp_Cat,WL4_Risk_Max,WL4_Risk_Max_Pct,WL4_Risk_Max_Cat
Artibonite,HT05,Petite Riviere de l'Artibonite,HT0542,271428,100,0.295,0.123,0.361,59.5,40.5,34.7,19.9,0.0195,85.6115,High,0.0081,80.5755,High,0.464,41.1,58.9,49,25.3,0.0256,82.7338,High,0.0107,76.9784,High,0.516,36,64,58.7,32,0.0292,82.0144,High,0.0122,76.9784,High,0.584,27.4,72.6,66.7,41.4,0.0314,79.8561,High,0.0131,75.5396,High,0.721,7.7,92.3,82.1,74.2,0.0404,81.295,High,0.0169,76.9784,High
Artibonite,HT05,Saint-Marc,HT0531,442475,100,0.3,0.049,0.493,33.6,66.4,49.8,30.4,0.0497,92.8058,Very High,0.0081,81.295,High,0.625,19.7,80.3,72.5,48.9,0.0635,93.5252,Very High,0.0104,76.259,High,0.665,16.8,83.2,79.7,57.4,0.0688,93.5252,Very High,0.0112,74.8201,Moderate,0.71,12.7,87.3,84.5,73.6,0.0705,93.5252,Very High,0.0115,73.3813,Moderate,0.752,6.8,93.2,88.2,84.1,0.073,92.8058,Very High,0.0119,68.3453,Moderate
Artibonite,HT05,Saint-Michel de l'Attalaye,HT0551,237425,100,0.379,0.152,0.174,99.9,0.1,0,0,0.0058,54.6763,Moderate,0.0023,51.0791,Moderate,0.295,51.2,48.8,12.6,0,0.0142,69.7842,Moderate,0.0057,58.2734,Moderate,0.441,30.3,69.7,37.9,10,0.026,79.1367,High,0.0104,72.6619,Moderate,0.678,8.7,91.3,73.5,61.8,0.0439,87.7698,High,0.0176,81.295,High,0.818,2,98,94.1,89.9,0.0561,89.9281,High,0.0225,83.4532,High
Artibonite,HT05,Terre Neuve,HT0522,52704,100,0.322,0.115,0.169,90.2,9.8,0.7,0,9.00E-04,17.2662,Very Low,3.00E-04,14.3885,Very Low,0.238,79.7,20.3,11.3,8,0.0015,15.1079,Very Low,5.00E-04,10.0719,Very Low,0.29,71.3,28.7,16.7,14,0.0021,13.6691,Very Low,7.00E-04,8.6331,Very Low,0.42,40.9,59.1,31.1,24.7,0.0032,13.6691,Very Low,0.0012,9.3525,Very Low,0.624,2.3,97.7,64.8,43.6,0.0056,16.5468,Very Low,0.002,10.0719,Very Low
Artibonite,HT05,Verrettes,HT0532,224451,100,0.417,0.187,0.362,58.8,41.2,34,20,0.0227,87.7698,High,0.0102,84.8921,High,0.474,42.8,57.2,49.3,37.1,0.0305,85.6115,High,0.0137,82.7338,High,0.533,35.5,64.5,58.3,46.7,0.0355,84.8921,High,0.0159,83.4532,High,0.623,23.5,76.5,67.1,64.2,0.0403,84.1727,High,0.0181,82.0144,High,0.729,10.8,89.2,78.6,77.4,0.0478,84.8921,High,0.0215,82.0144,High
Centre,HT06,Belladere,HT0632,118831,100,0.645,0.353,0.357,41.1,58.9,25.2,0,0.0175,82.0144,High,0.0096,83.4532,High,0.507,27.2,72.8,69,0,0.0264,83.4532,High,0.0145,83.4532,High,0.548,23.6,76.4,73,0.5,0.0291,81.295,High,0.0159,82.7338,High,0.641,16.7,83.3,79.8,42.4,0.0332,81.295,High,0.0181,82.7338,High,0.752,4.2,95.8,86.4,84.4,0.0399,80.5755,High,0.0219,82.7338,High
Centre,HT06,Boucan Carre,HT0623,82822,100,0.574,0.325,0.27,65,35,16.2,0,0.0069,58.2734,Moderate,0.0039,64.7482,Moderate,0.434,41,59,50.4,2.7,0.0128,66.9065,Moderate,0.0072,68.3453,Moderate,0.49,35.6,64.4,59,11.3,0.0149,66.9065,Moderate,0.0084,66.9065,Moderate,0.592,22.5,77.5,72.6,40.8,0.0176,66.9065,Moderate,0.01,66.1871,Moderate,0.741,8.5,91.5,85.2,82.7,0.0233,71.223,Moderate,0.0132,71.223,Moderate
Centre,HT06,Cerca Carvajal,HT0614,34965,100,0.536,0.324,0.106,100,0,0,0,0,0,Very Low,0,0,Very Low,0.171,84.7,15.3,0,0,6.00E-04,7.9137,Very Low,4.00E-04,8.6331,Very Low,0.304,52.3,47.7,6.4,0,0.0023,14.3885,Very Low,0.0014,15.8273,Very Low,0.549,19,81,62,6.3,0.0052,21.5827,Very Low,0.0031,28.0576,Low,0.831,0,100,100,98.2,0.0093,36.6906,Low,0.0056,43.8849,Low
Centre,HT06,Cerca La Source,HT0641,80412,100,0.449,0.319,0.181,84.1,15.9,0.2,0,0.0024,33.0935,Low,0.0017,38.8489,Low,0.352,50.6,49.4,29.3,0,0.0071,44.6043,Low,0.005,56.8345,Moderate,0.468,31.2,68.8,51.5,1.1,0.0105,54.6763,Moderate,0.0075,63.3094,Moderate,0.661,8.8,91.2,83,26.5,0.0157,64.0288,Moderate,0.0112,68.3453,Moderate,0.802,0.5,99.5,97.5,93,0.0202,66.9065,Moderate,0.0143,74.1007,Moderate
Centre,HT06,Hinche,HT0611,181002,100,0.576,0.316,0.24,65.2,34.8,0,0,0.0131,77.6978,High,0.0072,76.9784,High,0.51,22.3,77.7,63.3,0,0.0372,88.4892,High,0.0204,88.4892,High,0.59,15.3,84.7,76.9,8.2,0.0449,89.9281,High,0.0246,89.9281,High,0.69,6.4,93.6,89.3,42.7,0.0516,90.6475,Very High,0.0283,91.3669,Very High,0.821,1.4,98.6,96.7,94.8,0.0646,92.0863,Very High,0.0354,91.3669,Very High
Centre,HT06,Lascahobas,HT0631,66957,100,0.622,0.398,0.23,74.6,25.4,8,0,0.0044,51.0791,Moderate,0.0028,54.6763,Moderate,0.425,44,56,48.6,5.3,0.0106,60.4317,Moderate,0.0068,66.9065,Moderate,0.489,39.1,60.9,57.1,21.6,0.0126,61.8705,Moderate,0.0081,65.4676,Moderate,0.61,23.9,76.1,71.5,54.7,0.0157,63.3094,Moderate,0.01,66.9065,Moderate,0.779,0,100,85.8,82.5,0.0216,70.5036,Moderate,0.0138,71.9424,Moderate
Centre,HT06,Maissade,HT0612,88402,100,0.462,0.296,0.17,99.9,0.1,0,0,0.0023,31.6547,Low,0.0015,35.2518,Low,0.537,14.4,85.6,64.3,0,0.0148,70.5036,Moderate,0.0095,72.6619,Moderate,0.677,9.5,90.5,86,49.7,0.0199,73.3813,Moderate,0.0128,78.4173,High,0.774,5.8,94.2,91.3,87.8,0.0225,73.3813,Moderate,0.0144,77.6978,High,0.844,0.7,99.3,95.8,94.7,0.0251,71.9424,Moderate,0.0161,75.5396,High
Centre,HT06,Mirebalais,HT0621,208129,100,0.363,0.23,0.392,40.6,59.4,39,0,0.0204,86.3309,High,0.0129,88.4892,High,0.586,20.1,79.9,73.7,21,0.0326,86.3309,High,0.0206,89.2086,High,0.65,14.3,85.7,80.7,56.1,0.0372,86.3309,High,0.0235,88.4892,High,0.748,5.1,94.9,92.3,80.8,0.0422,86.3309,High,0.0267,89.2086,High,0.846,0,100,99.2,98.9,0.0495,87.7698,High,0.0313,90.6475,Very High
Centre,HT06,Saut d'Eau,HT0622,56828,100,0.56,0.29,0.252,71.9,28.1,16.2,0,0.0039,46.7626,Low,0.002,43.1655,Low,0.44,41.6,58.4,46.5,7,0.0082,48.9209,Low,0.0043,51.0791,Moderate,0.523,31,69,60.1,36.8,0.0103,53.9568,Moderate,0.0054,52.518,Moderate,0.645,14.6,85.4,75.1,63,0.0127,57.554,Moderate,0.0066,55.3957,Moderate,0.817,0.5,99.5,93.8,90.4,0.0174,62.5899,Moderate,0.009,61.8705,Moderate
Centre,HT06,Savanette,HT0633,54105,100,0.428,0.252,0.134,99.7,0.3,0,0,5.00E-04,12.9496,Very Low,3.00E-04,13.6691,Very Low,0.181,91.1,8.9,2.9,0.5,0.001,10.7914,Very Low,6.00E-04,12.2302,Very Low,0.243,81.9,18.1,11.3,2.7,0.0019,11.5108,Very Low,0.0011,12.2302,Very Low,0.352,65.2,34.8,25.6,15.5,0.003,10.0719,Very Low,0.0018,14.3885,Very Low,0.55,23,77,49.4,39.6,0.0058,18.705,Very Low,0.0034,25.1799,Low
Centre,HT06,Thomassique,HT0642,93289,100,0.538,0.364,0.474,6.8,93.2,8.5,0,0.0165,81.295,High,0.0112,87.0504,High,0.634,2.8,97.2,96.2,0,0.0226,79.1367,High,0.0153,84.1727,High,0.653,1.6,98.4,97.2,0,0.0235,76.9784,High,0.0159,82.0144,High,0.705,0.2,99.8,99,10.9,0.0244,74.8201,Moderate,0.0165,79.8561,High,0.816,0,100,100,99.8,0.0294,77.6978,High,0.0199,81.295,High
Centre,HT06,Thomonde,HT0613,96799,100,0.502,0.299,0.305,54,46,14.3,0,0.0087,67.6259,Moderate,0.0052,69.7842,Moderate,0.507,26.8,73.2,63.8,1.2,0.0164,73.3813,Moderate,0.0098,74.8201,Moderate,0.571,20.6,79.4,73.2,5.5,0.0191,72.6619,Moderate,0.0114,75.5396,High,0.694,5.8,94.2,88.3,53.8,0.0232,74.1007,Moderate,0.0138,76.259,High,0.842,0,100,99.6,98.9,0.03,78.4173,High,0.0179,77.6978,High
Grande'Anse,HT08,Abricots,HT0812,56365,100,0.679,0.475,0.262,51.9,48.1,0.6,0,0.005,51.7986,Moderate,0.0035,61.8705,Moderate,0.511,20.2,79.8,57,1.3,0.0122,65.4676,Moderate,0.0085,71.223,Moderate,0.595,10.5,89.5,75.5,3.5,0.0148,66.1871,Moderate,0.0103,71.9424,Moderate,0.705,1.2,98.8,90.6,11.5,0.0173,66.1871,Moderate,0.0121,74.8201,Moderate,0.759,0,100,100,55.4,0.0185,64.0288,Moderate,0.0129,69.7842,Moderate
Grande'Anse,HT08,Anse d'Hainault,HT0821,52963,100,0.83,0.514,0.213,70.4,29.6,0.5,0,0.0039,45.3237,Low,0.0024,51.7986,Moderate,0.414,35.5,64.5,36.8,0,0.0103,58.2734,Moderate,0.0064,62.5899,Moderate,0.502,19.8,80.2,51.4,0,0.0133,64.0288,Moderate,0.0082,66.1871,Moderate,0.635,1.5,98.5,81.8,0,0.0169,65.4676,Moderate,0.0105,67.6259,Moderate,0.754,0,100,100,34.6,0.0207,67.6259,Moderate,0.0128,69.0647,Moderate
Grande'Anse,HT08,Beaumont,HT0833,109843,100,0.141,0.062,0.136,100,0,0,0,4.00E-04,9.3525,Very Low,2.00E-04,10.0719,Very Low,0.142,98.6,1.4,0,0,2.00E-04,4.3165,Very Low,1.00E-04,4.3165,Very Low,0.158,96.5,3.5,1.1,0.3,2.00E-04,2.1583,Very Low,1.00E-04,2.1583,Very Low,0.208,83.8,16.2,4.3,3,0,0,Very Low,0,0,Very Low,0.35,54,46,22.9,16.8,6.00E-04,2.1583,Very Low,2.00E-04,2.1583,Very Low
Grande'Anse,HT08,Bonbon,HT0813,13889,100,0.535,0.306,0.239,73.3,26.7,10.4,0,4.00E-04,8.6331,Very Low,2.00E-04,11.5108,Very Low,0.487,21.7,78.3,43.4,13.1,0.001,10.0719,Very Low,6.00E-04,10.7914,Very Low,0.624,8.2,91.8,71.5,17.1,0.0013,9.3525,Very Low,8.00E-04,9.3525,Very Low,0.737,0.1,99.9,91.8,73.3,0.0016,7.1942,Very Low,9.00E-04,5.7554,Very Low,0.793,0,100,100,97.8,0.0017,5.7554,Very Low,0.001,5.036,Very Low
Grande'Anse,HT08,Chambellan,HT0815,40168,100,0.787,0.474,0.163,87.7,12.3,0,0,0.0014,23.0216,Very Low,8.00E-04,24.4604,Very Low,0.4,25.7,74.3,20,0,0.0066,39.5683,Low,0.004,48.2014,Low,0.534,10.4,89.6,55.2,0,0.0098,48.9209,Low,0.0059,54.6763,Moderate,0.677,0.8,99.2,90.8,0,0.0125,54.6763,Moderate,0.0075,61.1511,Moderate,0.754,0,100,100,36.5,0.014,54.6763,Moderate,0.0084,59.7122,Moderate
Grande'Anse,HT08,Corail,HT0831,28981,87.5,1,0.652,0.36,35,65,15.4,0,0.0051,52.518,Moderate,0.0033,60.4317,Moderate,0.646,5.7,94.3,71.5,39.8,0.0103,57.554,Moderate,0.0067,65.4676,Moderate,0.742,3.2,96.8,91.6,64.9,0.0123,60.4317,Moderate,0.008,64.7482,Moderate,0.807,0.1,99.9,97.1,94.8,0.0131,58.9928,Moderate,0.0085,63.3094,Moderate,0.825,0,100,100,99.5,0.0133,53.2374,Moderate,0.0087,60.4317,Moderate
Grande'Anse,HT08,Dame Marie,HT0822,58089,100,0.383,0.19,0.289,48.2,51.8,0,0,0.0034,41.7266,Low,0.0017,39.5683,Low,0.524,19.9,80.1,61.3,0,0.0073,46.0432,Low,0.0036,46.0432,Low,0.583,8.9,91.1,74,0,0.0084,41.0072,Low,0.0042,45.3237,Low,0.662,0.8,99.2,91,0.6,0.0093,38.8489,Low,0.0046,42.446,Low,0.748,0,100,100,25,0.0105,39.5683,Low,0.0052,39.5683,Low
Grande'Anse,HT08,Jeremie,HT0811,199551,100,0.593,0.354,0.222,76.1,23.9,7.5,0,0.013,76.9784,High,0.0077,79.1367,High,0.385,51.1,48.9,32.7,17.9,0.0285,84.8921,High,0.017,86.3309,High,0.467,39.3,60.7,48,28.8,0.037,85.6115,High,0.0221,87.0504,High,0.576,29.4,70.6,63.3,56,0.0449,88.4892,High,0.0268,89.9281,High,0.668,17.8,82.2,76.2,70.8,0.0511,88.4892,High,0.0305,89.9281,High
Grande'Anse,HT08,Les Irois,HT0823,35016,100,0.416,0.25,0.156,88.8,11.2,0,0,5.00E-04,13.6691,Very Low,3.00E-04,15.1079,Very Low,0.275,61.1,38.9,11.9,0,0.0016,15.8273,Very Low,9.00E-04,16.5468,Very Low,0.365,42.3,57.7,23,0,0.0024,15.1079,Very Low,0.0015,16.5468,Very Low,0.526,20,80,59.6,0.6,0.0038,15.8273,Very Low,0.0023,19.4245,Very Low,0.681,8.9,91.1,84.8,39,0.0051,13.6691,Very Low,0.0031,20.1439,Very Low
Grande'Anse,HT08,Moron,HT0814,46122,100,0.577,0.249,0.159,90.3,9.7,0,0,0.0011,20.1439,Very Low,5.00E-04,17.2662,Very Low,0.284,65.8,34.2,13.5,0,0.0033,25.8993,Low,0.0014,21.5827,Very Low,0.364,50,50,27.2,0,0.0048,28.0576,Low,0.0021,24.4604,Very Low,0.503,30.4,69.6,53.9,12.1,0.0069,28.777,Low,0.003,25.1799,Low,0.649,16.2,83.8,77,59.2,0.0092,35.9712,Low,0.004,31.6547,Low
Grande'Anse,HT08,Pestel,HT0834,75803,100,0.403,0.155,0.257,72,28,15.4,1.7,0.004,49.6403,Low,0.0015,35.9712,Low,0.37,57.7,42.3,31,19.6,0.0064,38.8489,Low,0.0025,33.8129,Low,0.428,51.3,48.7,38.7,27.8,0.0078,37.4101,Low,0.003,32.3741,Low,0.519,33.9,66.1,50.7,42.9,0.0091,38.1295,Low,0.0035,33.8129,Low,0.63,21.1,78.9,68.4,63.5,0.0109,41.7266,Low,0.0042,35.2518,Low
Grande'Anse,HT08,Roseaux,HT0832,54969,100,0.473,0.213,0.216,73.9,26.1,5.6,0,0.0024,32.3741,Low,0.0011,30.2158,Low,0.372,51.9,48.1,31.4,12.2,0.0052,33.8129,Low,0.0024,32.3741,Low,0.454,44.9,55.1,46.4,28.2,0.0069,33.8129,Low,0.0031,35.2518,Low,0.548,35.9,64.1,59.2,52.9,0.008,32.3741,Low,0.0036,35.9712,Low,0.609,25.9,74.1,66,64.5,0.0082,28.0576,Low,0.0037,28.777,Low
Nippes,HT10,Anse-a-Veau,HT1021,52557,100,0.421,0.234,0.544,21,79,59.2,26.9,0.008,62.5899,Moderate,0.0044,66.9065,Moderate,0.722,12.8,87.2,79,71.1,0.0108,61.8705,Moderate,0.006,61.1511,Moderate,0.764,8.6,91.4,83.7,79,0.0116,56.8345,Moderate,0.0064,58.9928,Moderate,0.799,2.9,97.1,91.4,88.2,0.0118,52.518,Moderate,0.0065,53.9568,Moderate,0.819,0,100,97.6,94,0.012,46.7626,Low,0.0066,50.3597,Moderate
Nippes,HT10,Arnaud,HT1024,30615,100,0.525,0.275,0.44,23.8,76.2,36,0,0.0038,44.6043,Low,0.002,42.446,Low,0.734,4.4,95.6,78.4,63.6,0.0068,41.7266,Low,0.0036,44.6043,Low,0.819,1.1,98.9,93.9,87.4,0.0079,39.5683,Low,0.0041,44.6043,Low,0.855,0,100,98.9,97.8,0.008,31.6547,Low,0.0042,39.5683,Low,0.851,0,100,100,100,0.0079,26.6187,Low,0.0042,33.8129,Low
Nippes,HT10,Baraderes,HT1031,62355,100,0.404,0.244,0.279,64.4,35.6,13.7,0.7,0.0037,43.8849,Low,0.0022,48.2014,Low,0.461,35,65,42.1,24.3,0.0071,43.8849,Low,0.0043,51.7986,Moderate,0.557,28.6,71.4,58.1,38.6,0.0091,46.7626,Low,0.0055,53.2374,Moderate,0.672,13.3,86.7,74,67,0.0108,48.2014,Low,0.0065,54.6763,Moderate,0.761,4.1,95.9,89.2,82.8,0.0124,48.2014,Low,0.0075,54.6763,Moderate
Nippes,HT10,Fonds des Negres,HT1013,40340,100,0.628,0.423,0.176,89.7,10.3,0,0,0.0014,22.3022,Very Low,9.00E-04,27.3381,Low,0.309,37.3,62.7,7.3,0.1,0.0035,26.6187,Low,0.0024,33.0935,Low,0.501,18.6,81.4,47,13.4,0.0072,35.9712,Low,0.0048,48.2014,Low,0.758,7.6,92.4,83.3,73.8,0.0118,53.2374,Moderate,0.0079,61.8705,Moderate,0.834,0.8,99.2,93.3,92.4,0.0133,52.518,Moderate,0.0089,61.1511,Moderate
Nippes,HT10,Grand-Boucan,HT1032,8743,100,0.462,0.342,0.758,0,100,100,59.4,0,0,Very Low,0,0,Very Low,0.866,0,100,100,100,0,0,Very Low,0,0,Very Low,0.858,0,100,100,100,0,0,Very Low,0,0,Very Low,0.846,0,100,100,100,0,0,Very Low,0,0,Very Low,0.84,0,100,100,100,0,0,Very Low,0,0,Very Low
Nippes,HT10,L'Asile,HT1023,58649,100,0.469,0.286,0.238,66.3,33.7,1.9,0,0.0031,38.8489,Low,0.0019,41.0072,Low,0.452,36.4,63.6,39.5,23.4,0.0074,47.482,Low,0.0045,53.9568,Moderate,0.567,30.4,69.6,58.5,47.9,0.01,52.518,Moderate,0.0061,57.554,Moderate,0.66,20.7,79.3,69.5,66.3,0.0114,50.3597,Moderate,0.007,57.554,Moderate,0.738,7.4,92.6,79.8,79.3,0.0127,48.9209,Low,0.0078,56.8345,Moderate
Nippes,HT10,Miragoane,HT1011,145078,100,0.299,0.2,0.32,54.6,45.4,14.3,5.6,0.0086,66.9065,Moderate,0.0057,73.3813,Moderate,0.561,12,88,47.9,34.4,0.0173,74.8201,Moderate,0.0116,79.8561,High,0.713,2,98,75.3,59.5,0.0235,77.6978,High,0.0157,81.295,High,0.865,0,100,98.4,94.2,0.0289,79.1367,High,0.0193,84.1727,High,0.871,0,100,100,100,0.0292,76.259,High,0.0195,80.5755,High
Nippes,HT10,Paillant,HT1014,28533,100,0.387,0.203,0.141,94.8,5.2,0.7,0,3.00E-04,6.4748,Very Low,1.00E-04,7.1942,Very Low,0.191,87.1,12.9,5.4,2.6,5.00E-04,7.1942,Very Low,3.00E-04,7.1942,Very Low,0.247,78.4,21.6,8.7,6.1,8.00E-04,5.036,Very Low,4.00E-04,5.7554,Very Low,0.367,54.1,45.9,26.6,17.7,0.0013,5.036,Very Low,7.00E-04,3.5971,Very Low,0.571,14.5,85.5,47.2,41.9,0.0025,7.1942,Very Low,0.0013,6.4748,Very Low
Nippes,HT10,Petit Trou de Nippes,HT1022,43998,100,0.463,0.266,0.352,54.2,45.8,22,12.3,0.004,48.2014,Low,0.0023,48.9209,Low,0.565,19.8,80.2,54.7,36.8,0.007,43.1655,Low,0.004,48.9209,Low,0.689,11,89,73.9,60.2,0.009,45.3237,Low,0.0052,50.3597,Moderate,0.79,1.8,98.2,89.5,86.1,0.0103,45.3237,Low,0.0059,48.2014,Low,0.839,0,100,99.8,97.1,0.011,42.446,Low,0.0063,48.2014,Low
Nippes,HT10,Petite Riviere de Nippes,HT1012,41853,100,0.612,0.293,0.449,32.9,67.1,35.9,20.9,0.0069,57.554,Moderate,0.0033,59.7122,Moderate,0.647,16.3,83.7,66.2,56,0.0103,58.9928,Moderate,0.0049,56.1151,Moderate,0.714,11.4,88.6,73,68.9,0.0117,58.2734,Moderate,0.0056,53.9568,Moderate,0.789,8.7,91.3,88.6,86,0.0127,58.2734,Moderate,0.0061,51.0791,Moderate,0.817,0.4,99.6,94.4,90.6,0.0131,51.0791,Moderate,0.0063,47.482,Low
Nippes,HT10,Plaisance du Sud,HT1025,54096,100,0.337,0.165,0.146,99.4,0.6,0.3,0,6.00E-04,14.3885,Very Low,3.00E-04,12.9496,Very Low,0.222,78.2,21.8,0.7,0.6,0.0014,14.3885,Very Low,7.00E-04,12.9496,Very Low,0.314,45.3,54.7,7.9,2.2,0.0026,15.8273,Very Low,0.0013,14.3885,Very Low,0.588,13.7,86.3,59.9,42.8,0.0063,25.8993,Low,0.0031,27.3381,Low,0.762,0,100,89.8,81.8,0.0088,31.6547,Low,0.0043,36.6906,Low
North,HT03,Acul du Nord,HT0321,87278,100,0.377,0.194,0.353,43.8,56.2,25.3,0,0.0072,60.4317,Moderate,0.0037,64.0288,Moderate,0.591,24.6,75.4,66.7,58.1,0.0134,69.0647,Moderate,0.0069,67.6259,Moderate,0.657,20,80,75.4,71.5,0.0154,68.3453,Moderate,0.0079,64.0288,Moderate,0.733,4.5,95.5,83.1,80.2,0.0168,64.7482,Moderate,0.0086,64.0288,Moderate,0.812,0,100,96.6,92.4,0.0189,64.7482,Moderate,0.0097,65.4676,Moderate
North,HT03,Bahon,HT0332,34583,100,0.384,0.337,0.169,90.1,9.9,0,0,6.00E-04,15.1079,Very Low,5.00E-04,18.705,Very Low,0.442,34.6,65.4,38.7,11.2,0.0031,22.3022,Very Low,0.0027,36.6906,Low,0.563,22,78,66.7,32.1,0.0042,23.741,Very Low,0.0037,41.7266,Low,0.708,8.7,91.3,86.9,79.1,0.0054,24.4604,Very Low,0.0047,43.1655,Low,0.814,0.4,99.6,96.4,94.4,0.0064,21.5827,Very Low,0.0056,43.1655,Low
North,HT03,Bas Limbe,HT0362,34473,100,0.303,0.123,0.542,10.9,89.1,67.2,0,0.0034,40.2878,Low,0.0014,34.5324,Low,0.766,0.1,99.9,98.1,95.5,0.0049,31.6547,Low,0.002,28.0576,Low,0.782,0,100,99.9,98.3,0.0051,29.4964,Low,0.0021,23.741,Very Low,0.799,0,100,100,100,0.005,19.4245,Very Low,0.002,16.5468,Very Low,0.809,0,100,100,100,0.005,12.9496,Very Low,0.002,10.7914,Very Low
North,HT03,Borgne,HT0351,101793,100,0.356,0.168,0.174,91.9,8.1,0,0,0.0022,30.2158,Low,0.001,29.4964,Low,0.323,61.9,38.1,23.8,14.8,0.0063,37.4101,Low,0.003,40.2878,Low,0.401,47.9,52.1,34.5,27.2,0.0086,41.7266,Low,0.0041,43.8849,Low,0.524,30.7,69.3,52.1,46.6,0.0113,48.9209,Low,0.0053,45.3237,Low,0.663,8.6,91.4,75.5,62.6,0.0148,58.9928,Moderate,0.007,52.518,Moderate
North,HT03,Cap-Haitien,HT0311,401671,100,0.361,0.145,0.476,39.8,60.2,44.9,32.3,0.0517,94.2446,Very High,0.0208,92.8058,Very High,0.654,15.4,84.6,77.1,67.1,0.0733,95.6835,Very High,0.0294,92.8058,Very High,0.702,6.1,93.9,81.5,80,0.0804,94.964,Very High,0.0323,92.8058,Very High,0.778,0,100,93.9,89.2,0.0873,94.964,Very High,0.0351,92.8058,Very High,0.812,0,100,100,98.5,0.0908,94.964,Very High,0.0365,92.0863,Very High
North,HT03,Dondon,HT0342,56688,100,0.289,0.08,0.126,100,0,0,0,3.00E-04,7.1942,Very Low,1.00E-04,4.3165,Very Low,0.143,100,0,0,0,2.00E-04,3.5971,Very Low,1.00E-04,2.1583,Very Low,0.175,98.6,1.4,0,0,4.00E-04,3.5971,Very Low,1.00E-04,2.8777,Very Low,0.416,29.9,70.1,29,14.2,0.0031,12.2302,Very Low,9.00E-04,5.036,Very Low,0.742,0.2,99.8,86.3,66.7,0.0076,25.8993,Low,0.0021,11.5108,Very Low
North,HT03,Grande Riviere Du Nord,HT0331,70150,100,0.292,0.079,0.256,72.4,27.6,12,0,0.0027,35.2518,Low,7.00E-04,21.5827,Very Low,0.559,23.5,76.5,57.5,35.5,0.0076,48.2014,Low,0.0021,30.2158,Low,0.685,10.9,89.1,81.7,60,0.0098,49.6403,Low,0.0027,28.777,Low,0.806,0.2,99.8,96.3,91.7,0.0116,51.7986,Moderate,0.0031,28.777,Low,0.843,0,100,100,99.9,0.0122,47.482,Low,0.0033,24.4604,Very Low
North,HT03,La Victoire,HT0345,15205,100,0.37,0.182,0.117,100,0,0,0,0,2.1583,Very Low,0,2.1583,Very Low,0.264,53.1,46.9,0,0,3.00E-04,5.036,Very Low,2.00E-04,5.036,Very Low,0.513,20.3,79.7,55.8,0,9.00E-04,7.1942,Very Low,4.00E-04,6.4748,Very Low,0.759,0,100,98.6,82.3,0.0014,5.7554,Very Low,7.00E-04,4.3165,Very Low,0.842,0,100,100,100,0.0016,5.036,Very Low,8.00E-04,3.5971,Very Low
North,HT03,Limbe,HT0361,168347,100,0.191,0.015,0.286,52.9,47.1,10.8,0,0.0054,53.2374,Moderate,4.00E-04,16.5468,Very Low,0.544,28.6,71.4,57,47.4,0.0125,66.1871,Moderate,0.001,17.2662,Very Low,0.641,19,81,71.4,63,0.0154,67.6259,Moderate,0.0012,12.9496,Very Low,0.758,4.5,95.5,90.8,81.7,0.0181,69.0647,Moderate,0.0014,10.7914,Very Low,0.819,0,100,98.7,95.2,0.0198,65.4676,Moderate,0.0016,7.1942,Very Low
North,HT03,Limonade,HT0313,83900,100,0.41,0.225,0.728,8.9,91.1,88.5,71.3,0.0189,83.4532,High,0.0104,85.6115,High,0.81,1.1,98.9,97.2,93.3,0.0206,76.259,High,0.0113,79.1367,High,0.829,0.2,99.8,99.3,97.8,0.0214,74.1007,Moderate,0.0118,76.259,High,0.838,0,100,100,100,0.0209,72.6619,Moderate,0.0115,72.6619,Moderate,0.839,0,100,100,100,0.0208,68.3453,Moderate,0.0114,66.9065,Moderate
