admin1_pc,admin2,admin2_pc,population,data_quality,n_sectors_available,n_dims_available,Food.Security_rate,Health_rate,Nutrition_rate,WASH_rate,Shelter_rate,Education_rate,Overarching.Protection_rate,CP_rate,GBV_rate,Migrants_rate,dim_basic_z,dim_living_z,dim_protection_z,dim_basic_wt,dim_living_wt,dim_protection_wt,index_comp_z_norm,index_comp_wt_norm,index_max_z_norm,index_max_wt_norm,index_geom_z_norm,index_geom_wt_norm,n_deprived_z,is_multidim_deprived_k2,af_score_k2_norm
HT04,Ouanaminthe,HT0421,123320,High,10,3,0.368553357,0.253097632,0.10463023,0.160841713,0.353219267,0.095937399,0.186174181,0.186174181,0.080570873,0.029103146,-0.624032146,-0.270231479,0.045873941,-0.620761097,-0.270231479,0.044756905,0.144736778,0.119800201,0.107879601,0.074607611,0.247275039,0.206051181,1,FALSE,0
HT04,Capotille,HT0422,22559,High,10,3,0.486723702,0.244647369,0.086528658,0.113214238,0,0.094108781,0.166585398,0.166585398,0.078194955,0.016889047,-0.512886751,-1.285308781,-0.110270545,-0.444756904,-1.008304679,-0.102201022,0.02410361,0.058282322,0.073907461,0.053978696,0.029191604,0.105295625,0,FALSE,0
HT04,Mont-Organise,HT0423,24682,High,10,3,0.462847419,0.270196905,0.086176161,0.148245685,0.271858034,0.104975286,0.10947249,0.10947249,0.079936796,0.018637063,-0.489739653,-0.360926818,-0.440576365,-0.445051894,-0.360926818,-0.488300166,0.094341562,0.080926265,0.019372522,0.017660597,0.263087391,0.217549244,0,FALSE,0
HT04,Trou du Nord,HT0431,57212,High,10,3,0.465863805,0.26094176,0.085454101,0.509158918,0.377927707,0.09580158,0.119572817,0.119572817,0.081643711,0.023351744,-0.087584397,-0.203215055,-0.361549917,-0.262646308,-0.203215055,-0.405028318,0.167045513,0.117661125,0.078843255,0.039799059,0.323671213,0.249388739,0,FALSE,0
HT04,Sainte Suzanne,HT0432,32812,High,10,3,0.465348043,0.254815311,0.080610752,0.202060222,0.311166646,0.096946239,0.078325003,0.069669633,0.078325003,0.014659271,-0.470999758,-0.372523686,-0.675153206,-0.514767857,-0.449914522,-0.738457838,0.06846035,0.045451896,0.016849408,0.005169132,0.210503876,0.158731937,0,FALSE,0
HT04,Terrier Rouge,HT0433,35373,High,10,3,0.46696633,0.242105561,0.085177961,0.09826704,0.354507675,0.095383485,0.102224861,0.102224861,0.07943912,0.00952704,-0.583652707,-0.275010712,-0.507211254,-0.522124842,-0.275010712,-0.555273663,0.085848707,0.075882655,0.038065171,0.029720892,0.236194431,0.200547441,0,FALSE,0
HT04,Caracol,HT0434,9005,High,10,3,0.494614103,0.243531371,0.114047751,0.155024986,0.377790117,0.092504164,0.318600777,0.318600777,0.076513048,0.009994448,-0.322373442,-0.253490805,0.776984239,-0.2585575,-0.253490805,0.931350043,0.264167488,0.229603051,0.266946258,0.19906129,0.344733508,0.288280377,1,FALSE,0
HT04,Vallieres,HT0441,27514,High,10,3,1,0.248600712,0.075452497,0.193029003,0.454314167,0.092970851,0.07752417,0.054117904,0.07752417,0.011485062,0.668801291,-0.032509886,-0.744687025,1.085106802,-0.032509886,-0.791073362,0.228945641,0.215913615,0.243409043,0.220644577,0.232973231,0.188394977,1,FALSE,0
HT04,Carice,HT0442,15825,High,10,3,0.496745656,0.258894155,0.099652449,0.069636651,0.379146919,0.110900474,0.154123223,0.154123223,0.079747235,0.034249605,-0.459029257,0.028645053,-0.137976049,-0.312913981,0.028645053,-0.154181136,0.176603196,0.155181235,0.104131136,0.072345943,0.302265721,0.280503896,1,FALSE,0
HT04,Mombin Crochu,HT0443,40343,High,10,3,0.468507548,0.234514042,0.081749002,0.147534888,0.322236819,0.100141288,0.090672483,0.090672483,0.080360905,0.009444018,-0.55092174,-0.293235204,-0.5724736,-0.541080196,-0.293235204,-0.632244055,0.080072858,0.065978545,0.034100093,0.027162667,0.232898521,0.184251051,0,FALSE,0
HT05,Gonaives,HT0511,366051,High,10,3,0.528289774,0.267891633,0.093768355,0.143766852,0.298439289,0.114079732,0.218423116,0.115675138,0.218423116,0.037767961,-0.318425472,-0.148866393,0.502588577,-0.365349129,-0.175228608,0.460677103,0.245297351,0.186290351,0.207246373,0.132991549,0.353126784,0.275370068,1,FALSE,0
HT05,Ennery,HT0512,52529,High,10,3,0.531135182,0.260675056,0.086447486,0.236307563,0.380742066,0.114374917,0.086238078,0.086238078,0.080831541,0.029069657,-0.250757976,0.085673824,-0.551722987,-0.199938177,0.085673824,-0.628478976,0.159710434,0.128779591,0.116538807,0.080351239,0.27082913,0.207418865,1,FALSE,0
HT05,L'Estere,HT0513,44802,High,10,3,0.494152047,0.250591491,0.090777197,0.135462703,0,0.110106692,0.103477523,0.103477523,0.081491898,0.039060756,-0.44269024,-1.043254478,-0.42247057,-0.411761522,-0.662512818,-0.432797139,0.024109389,0.062463568,0.005982533,0.01052478,0.099372973,0.179782162,0,FALSE,0
HT05,Gros Morne,HT0521,162808,High,10,3,0.507450494,0.28324161,0.088668861,0.21213331,0.511338509,0.123292467,0.103625129,0.103625129,0.081605327,0.018481893,-0.287358553,0.585676542,-0.468477152,-0.302949977,0.664489423,-0.554983849,0.221917155,0.17643886,0.225323706,0.161601282,0.301946443,0.22888727,1,FALSE,0
HT05,Terre Neuve,HT0522,32784,High,10,3,0.467331625,0.410078087,0.083882382,0.432802587,0.260828453,0.123779893,0.081015129,0.070369693,0.081015129,0.021260371,0.040485812,-0.107238887,-0.639025127,0.025643212,-0.107238887,-0.7431899,0.16096549,0.121661293,0.106707313,0.071924566,0.249108744,0.181278059,1,FALSE,0
HT05,Anse Rouge,HT0523,47668,High,10,3,0.446295209,0.378576823,0.09820005,0.500314677,0.398590249,0.123898632,0.162750692,0.162750692,0.081669044,0.012964672,0.090790606,0.279665011,-0.126694407,0.075418186,0.279665011,-0.123940183,0.269019917,0.213277683,0.158745201,0.10758235,0.418453627,0.338446607,2,TRUE,0.666666667
HT05,Saint-Marc,HT0531,281577,High,10,3,0.464231809,0.303313126,0.088782109,0.275672374,0.225686047,0.112637041,0.135021681,0.135021681,0.082694964,0.019252283,-0.280343328,-0.374073483,-0.273725585,-0.305055789,-0.442331894,-0.317680468,0.135661184,0.100813461,0.038344774,0.025503377,0.307993096,0.235621263,0,FALSE,0
HT05,Verrettes,HT0532,146485,High,10,3,0.484636652,0.373935898,0.09063044,0.390654333,0.546131003,0.115260948,0.2140697,0.178263986,0.2140697,0.029627607,0.008583906,0.561417645,0.682523588,0.00037318,0.690718406,0.546023744,0.383813897,0.300559676,0.246394584,0.165283121,0.488071874,0.364672229,3,TRUE,1
